COLONY,GAMMARK,TREATMENT,STATUS,Interval,Deadgams,REVERTGAM,NEWGAM,headwidth_mm,headwidth2,PHOTOYO,PHOTO_MATED,PHOTO_YB,TotalPupae,InitPupae,finallarvae,finaleggs,cricket,LATSAMPLE_60%,GAMSAMPLE,COLSIZESAMPLE,DSAMPLED,SPME,Method of GC/MS analysis for sample (not standard),,C23 RT,C24 RT,C25 RT,C26 RT,C27 RT,C28 RT,C29 RT,C30 RT,C31 RT,C32 RT,C33 RT,C34 RT,C35 RT,C36 RT,C37 RT,C38 RT,AlkStandard File?,"C23_ALKANE_RT (alkanes: base ions 57, 71, 85 and 99, M+, 324)",C23AREA,"C25_ALKANE_RT(alkanes: base ions 57, 71, 85 and 99, M+, 352)",C25AREA,"C27_ALKANE_RT(alkanes: base ions 57, 71, 85 and 99, M+, 380)",C27AREA,"C29ALKENE_RT (alkenes: base ions 57, 69, 83, 97, M+:406)",C29ALKENEAREA_A,C29ALKENEAREA_B,C29ALKENEAREA_TOT,"C29alkane_RT(alkanes: base ions 57, 71, 85 and 99, M+, 408)",C29AREA,"ME29_RT (mono-methylalkanes, alkanes base ions(99) and 197 and 253 for bond at C13, 225 for bond at C15 , m+, 422, but appears as M-15 of 407)",MEC29AREA,"C31alkene_RT (alkenes: base ions 57, 69, 83, 97, M+: 434)",C31ALKENEAREA_A,C31ALKENEAREA_B,C31ALKENEAREA_TOT,"ME31_RT (alk base ion, 99, plus for C13 bond, 197, 281, for C13, 225, 253, M+=450, but M-15 appears of 435)",ME31AREA,"C33Alkene_RT (alkenes: base ions 57, 69, 83, 97, M+: 462)",C33ALKENEAREA_A,C33ALKENEAREA_B,C33ALKENEAREA_TOT,"Me33_RT(alk base ion 99, c11 bond, 169, 337; c13, 197, 309; c15, 225, 281; c17, 253,plus M+= 478, but appears as M-15 of 463)",ME33AREA,"DimeC33_RT (alk base ions 99, plus, c7: 113, 407 and 281, 239 or 253,267; c11, 169, 197, 253,351;    c13, 323, 197 and 253,267 OR 225 and 295  , M+= 492, but appears as M-15 of 477)",DIMEC33AREA,"c35alkene_RT (alkenes: base ions 57, 69, 83, 97, M+: 490)",C35ALKENEAREA_A,C35ALKENEAREA_B,C35ALKENE_AREA_TOT,"mec35_RT (alk base 99, c13, 197, 337; c15, 225, 309; c17, 253, 281; M+=506, but appear as M-15 of 491)",MEC35AREA,"dimec35_RT (alk base ion 99, c7: 113,435, plus 239, 309 or 253, 295; c13, 197,351, plus 281, 267 or 225,323 or 197, 351  M+=520, but appears as M-15 of 505)",DIMEC35AREA,"RT of 13,23DimeC37 (base ions alkane (99), plus 197, 379, 225,351, M+=548, but M-15 appears of 533 )",1323Dimec37AREA,TOTALAREA,Index notes
F32,GWG,INCRPROP,GAMERGATE,Eighteen,,,,2.65,2.65,4.00,1.00,1.00,118.00,46.00,9.00,70.00,,56.00,8.00,11.00,4-Jun,4-Jun,PYENSON_SPME_April2021.M,,14.07,15.39,16.73,18.07,19.42,20.73,22.03,23.29,24.54,25.71,25.89,28.03,29.14,30.24,31.47,32.89,210605_C20_C39_ALKANES_PENTANE,13.878,1451750.00,16.516,17666772.00,19.192,46310824.00,"21.382, 21.456",20791120.00,10720360.00,31511480.00,21.793,33510782.00,22.218,93780988.00,"23.922, 23.989",62049089.00,45646874.00,107695963.00,24.691,147835814.00,"26.318, 26.38",48758348.00,34954270,83712618.00,27.013,59099332.00,27.379,116465911.00,"28.576, 28.642",10337294.00,20948080.00,31285374.00,29.216,37760147.00,29.535,66690136.00,31.903,11202918.00,1332995923.00,
F32,OBO,INCRPROP,GAMERGATE,Eighteen,,,,2.74,2.74,5.00,1.00,1.00,118.00,46.00,9.00,70.00,,56.00,8.00,11.00,4-Jun,4-Jun,PYENSON_SPME_April2021.M,,14.07,15.39,16.73,18.07,19.42,20.73,22.03,23.29,24.54,25.71,25.89,28.03,29.14,30.24,31.47,32.89,210605_C20_C39_ALKANES_PENTANE,13.88,503144.00,16.515,4524151.00,19.185,15275759.00,"21.378, 21.450",6515050.00,3721334.00,10236384.00,21.79,22928061.00,22.207,55127457.00,"23.914, 23.982",36283529.00,32480691.00,68764220.00,24.683,124904616.00,"26.31, 26.376",33532103.00,22714720,56246823.00,27.003,45511698.00,27.375,95397502.00,"28.572, 28.638",5612071.00,9767876.00,15379947.00,29.214,23740896.00,29.528,33671121.00,31.904,5970596.00,866246873.00,
F32,OGO,INCRPROP,GAMERGATE,Eighteen,,,,2.83,2.83,6.00,1.00,1.00,118.00,46.00,9.00,70.00,,56.00,8.00,11.00,4-Jun,4-Jun,PYENSON_SPME_April2021.M,,14.07,15.39,16.73,18.07,19.42,20.73,22.03,23.29,24.54,25.71,25.89,28.03,29.14,30.24,31.47,32.89,210605_C20_C39_ALKANES_PENTANE,13.877,893212.00,16.517,15239887.00,19.193,46844582.00,"21.38, 21.454",20243624.00,9695933.00,29939557.00,21.792,32501252.00,22.213,70551917.00,"23.92, 23.986",62487273.00,43660009.00,106147282.00,24.677,87114078.00,"26.315, 26.378",50066190.00,32402185,82468375.00,27.003,40455424.00,27.376,92520422.00,"28.573, 28.638",9310724.00,15571489.00,24882213.00,29.211,24415775.00,29.532,40985801.00,31.9,6539586.00,1074395691.00,
F32,OPO,INCRPROP,GAMERGATE,Eighteen,,,,2.83,2.83,4.00,0.00,1.00,118.00,46.00,9.00,70.00,,56.00,8.00,11.00,4-Jun,4-Jun,PYENSON_SPME_April2021.M,,14.07,15.39,16.73,18.07,19.42,20.73,22.03,23.29,24.54,25.71,25.89,28.03,29.14,30.24,31.47,32.89,210605_C20_C39_ALKANES_PENTANE,13.878,1055876.00,16.515,11418376.00,19.186,26434596.00,"21.381, 21.454",22538210.00,8728838.00,31267048.00,21.786,13763907.00,22.209,64393611.00,"23.915, 23.983",47904478.00,25384879.00,73289357.00,24.674,82761943.00,"26.309, 26.37",28435970.00,14802970,43238940.00,26.995,28957219.00,27.367,45629539.00,"28.573, 28.63",4219195.00,6214437.00,10433632.00,29.207,13779669.00,29.524,23742394.00,31.899,4161126.00,969056925.00,
F32,OYO,INCRPROP,GAMERGATE,Eighteen,,,,2.70,2.70,5.00,1.00,1.00,118.00,46.00,9.00,70.00,,56.00,8.00,11.00,4-Jun,4-Jun,PYENSON_SPME_April2021.M,,14.07,15.39,16.73,18.07,19.42,20.73,22.03,23.29,24.54,25.71,25.89,28.03,29.14,30.24,31.47,32.89,210605_C20_C39_ALKANES_PENTANE,13.872,1703609.00,16.512,16371698.00,19.187,41750912.00,"21.381, 21.454",31197785.00,14426780.00,45624565.00,21.79,31219552.00,22.22,113347072.00,"23.925, 23.99",88342843.00,62127787.00,150470630.00,24.694,167789713.00,"26.321, 26.381",68764152.00,45094727,113858879.00,27.011,70753934.00,27.385,135329506.00,"28.573, 28.638",12913456.00,20434288.00,33347744.00,29.215,34560602.00,29.537,77034068.00,31.904,10863493.00,1502151507.00,
F32,WGW,INCRPROP,GAMERGATE,Eighteen,,,,2.57,2.57,3.00,1.00,1.00,118.00,46.00,9.00,70.00,,56.00,8.00,11.00,4-Jun,4-Jun,PYENSON_SPME_April2021.M,,14.07,15.39,16.73,18.07,19.42,20.73,22.03,23.29,24.54,25.71,25.89,28.03,29.14,30.24,31.47,32.89,210605_C20_C39_ALKANES_PENTANE,13.879,1301785.00,16.457,20361073.00,19.193,37437330.00,"21.383, 21.455",22795098.00,10427656.00,33222754.00,21.79,17964580.00,22.21,62644462.00,"23.912, 23.979",33121337.00,23438002.00,56559339.00,24.673,69764709.00,"26.304, 26.372",15254742.00,11687483,26942225.00,26.997,24108413.00,27.364,32505073.00,"28.568, 28.634",3200009.00,5869433.00,9069442.00,29.205,11163931.00,29.524,16525098.00,31.901,2655924.00,714590462.00,
R5(117C),BYB,INCRPROP,GAMERGATE,Eighteen,,1.00,,2.54,2.54,5.00,1.00,1.00,42.00,21.00,3.00,101.00,0.00,56.00,9.00,16.00,7/20/21,7/20/21,PYENSON_SOLVENT MS long April 2021.M,,13.93,15.25,16.59,17.94,19.28,20.60,21.89,23.16,24.42,25.58,26.76,27.90,29.01,30.08,31.29,32.67,210718_ALKSTDS_C20_C39_PENTANE,13.871,1322533.00,16.444,3462244.00,19.109,7590645.00,"21.303, 21.374",15067106.00,3104230.00,18171336.00,21.709,11622945.00,22.14,83252098.00,"23.849, 23.907",87196546.00,26841199.00,114037745.00,24.197,5673797.00,"26.309, 26.556",38679825.00,4677862,43357687.00,26.936,105196709.00,27.3,113735751.00,"28.498, 28.56",31369438.00,26069455.00,57438893.00,29.133,48569360.00,29.455,88672049.00,31.802,34176195.00,1354060768.00,
R5(117C),GBG,INCRPROP,GAMERGATE,Eighteen,,1.00,,2.59,2.59,4.00,1.00,1.00,42.00,21.00,3.00,101.00,0.00,56.00,9.00,16.00,7/20/21,7/20/21,PYENSON_SOLVENT MS long April 2021.M,,13.93,15.25,16.59,17.94,19.28,20.60,21.89,23.16,24.42,25.58,26.76,27.90,29.01,30.08,31.29,32.67,210718_ALKSTDS_C20_C39_PENTANE,13.814,3080898.00,16.443,12633651.00,19.112,25728394.00,"21.307, 21.374",32358538.00,7580874.00,39939412.00,21.71,25331428.00,22.141,105128775.00,23.848,139428686.00,,139428686.00,24.621,224531855.00,26.254,180644731.00,,180644731.00,26.934,102960974.00,27.297,104197811.00,"28.495, 28.556",30858887.00,24199214.00,55058101.00,29.131,47798319.00,29.454,104467347.00,31.799,35484434.00,1702785436.00,
R5(117C),GWG,INCRPROP,GAMERGATE,Eighteen,,1.00,,2.63,2.63,2.00,1.00,1.00,42.00,21.00,3.00,101.00,0.00,56.00,9.00,16.00,7/20/21,7/20/21,PYENSON_SOLVENT MS long April 2021.M,,13.93,15.25,16.59,17.94,19.28,20.60,21.89,23.16,24.42,25.58,26.76,27.90,29.01,30.08,31.29,32.67,210718_ALKSTDS_C20_C39_PENTANE,13.818,5825838.00,16.447,12241476.00,19.112,18567738.00,"21.306, 21.377",31084370.00,8604063.00,39688433.00,21.711,15085689.00,22.137,74095246.00,"23.847, 23.91",91751657.00,33665734.00,125417391.00,24.61,150153434.00,"26.246, 26.302",89147130.00,35339986,124487116.00,26.926,62658823.00,27.29,58989119.00,"28.492, 28.552",18111527.00,15779014.00,33890541.00,29.124,20973576.00,29.447,45716369.00,31.799,18140031.00,1148681069.00,
R5(117C),OYO,INCRPROP,GAMERGATE,Eighteen,,1.00,,2.65,2.65,4.00,1.00,1.00,42.00,21.00,3.00,101.00,0.00,56.00,9.00,16.00,7/20/21,7/20/21,PYENSON_SOLVENT MS long April 2021.M,,13.93,15.25,16.59,17.94,19.28,20.60,21.89,23.16,24.42,25.58,26.76,27.90,29.01,30.08,31.29,32.67,210718_ALKSTDS_C20_C39_PENTANE,13.816,4884354.00,16.447,18521429.00,19.116,30715768.00,"21.328, 21.386",98247722.00,22608669.00,120856391.00,21.718,27308102.00,22.17,235496861.00,"23.892, 23.945",327621829.00,99663803.00,427285632.00,24.652,387139006.00,"26.279, 26.331",266505826.00,78735624,345241450.00,26.944,131648823.00,27.31,149519095.00,"28.497, 28.559",27759159.00,23684506.00,51443665.00,29.13,36807391.00,29.456,83755743.00,31.799,28332201.00,2403079198.00,
