COLONY,GAMMARK,TREATMENT,STATUS,Interval,Deadgams,REVERTGAM,NEWGAM,headwidth_mm,headwidth2,PHOTOYO,PHOTO_MATED,PHOTO_YB,TotalPupae,InitPupae,finallarvae,finaleggs,cricket,LATSAMPLE_60%,GAMSAMPLE,COLSIZESAMPLE,DSAMPLED,SPME,Method of GC/MS analysis for sample (not standard),,C23 RT,C24 RT,C25 RT,C26 RT,C27 RT,C28 RT,C29 RT,C30 RT,C31 RT,C32 RT,C33 RT,C34 RT,C35 RT,C36 RT,C37 RT,C38 RT,AlkStandard File?,"C23_ALKANE_RT (alkanes: base ions 57, 71, 85 and 99, M+, 324)",C23AREA,"C25_ALKANE_RT(alkanes: base ions 57, 71, 85 and 99, M+, 352)",C25AREA,"C27_ALKANE_RT(alkanes: base ions 57, 71, 85 and 99, M+, 380)",C27AREA,"C29ALKENE_RT (alkenes: base ions 57, 69, 83, 97, M+:406)",C29ALKENEAREA_A,C29ALKENEAREA_B,C29ALKENEAREA_TOT,"C29alkane_RT(alkanes: base ions 57, 71, 85 and 99, M+, 408)",C29AREA,"ME29_RT (mono-methylalkanes, alkanes base ions(99) and 197 and 253 for bond at C13, 225 for bond at C15 , m+, 422, but appears as M-15 of 407)",MEC29AREA,"C31alkene_RT (alkenes: base ions 57, 69, 83, 97, M+: 434)",C31ALKENEAREA_A,C31ALKENEAREA_B,C31ALKENEAREA_TOT,"ME31_RT (alk base ion, 99, plus for C13 bond, 197, 281, for C13, 225, 253, M+=450, but M-15 appears of 435)",ME31AREA,"C33Alkene_RT (alkenes: base ions 57, 69, 83, 97, M+: 462)",C33ALKENEAREA_A,C33ALKENEAREA_B,C33ALKENEAREA_TOT,"Me33_RT(alk base ion 99, c11 bond, 169, 337; c13, 197, 309; c15, 225, 281; c17, 253,plus M+= 478, but appears as M-15 of 463)",ME33AREA,"DimeC33_RT (alk base ions 99, plus, c7: 113, 407 and 281, 239 or 253,267; c11, 169, 197, 253,351;    c13, 323, 197 and 253,267 OR 225 and 295  , M+= 492, but appears as M-15 of 477)",DIMEC33AREA,"c35alkene_RT (alkenes: base ions 57, 69, 83, 97, M+: 490)",C35ALKENEAREA_A,C35ALKENEAREA_B,C35ALKENE_AREA_TOT,"mec35_RT (alk base 99, c13, 197, 337; c15, 225, 309; c17, 253, 281; M+=506, but appear as M-15 of 491)",MEC35AREA,"dimec35_RT (alk base ion 99, c7: 113,435, plus 239, 309 or 253, 295; c13, 197,351, plus 281, 267 or 225,323 or 197, 351  M+=520, but appears as M-15 of 505)",DIMEC35AREA,"RT of 13,23DimeC37 (base ions alkane (99), plus 197, 379, 225,351, M+=548, but M-15 appears of 533 )",1323Dimec37AREA,TOTALAREA,Index notes
R5(117C),YOY,INCRPROP,GAMERGATE,Eighteen,,1.00,,2.53,2.53,3.00,1.00,1.00,42.00,21.00,3.00,101.00,0.00,56.00,9.00,16.00,7/20/21,7/20/21,PYENSON_SOLVENT MS long April 2021.M,,13.93,15.25,16.59,17.94,19.28,20.60,21.89,23.16,24.42,25.58,26.76,27.90,29.01,30.08,31.29,32.67,210718_ALKSTDS_C20_C39_PENTANE,13.815,3045799.00,16.447,13428643.00,19.113,21090854.00,"21.317, 21.382",60109428.00,14535287.00,74644715.00,21.712,17129459.00,22.154,147814737.00,"23.869, 23.924",187858612.00,55209429.00,243068041.00,24.632,259869956.00,"26.264, 26.315",157638850.00,50982504,208621354.00,26.94,105537997.00,27.296,90957322.00,"28.495, 28.557",23106905.00,16343579.00,39450484.00,29.129,29519893.00,29.451,47247893.00,31.792,16084591.00,1573791476.00,
R5(117C),WP,INCRPROP,GAMERGATE,Eighteen,,1.00,,2.64,2.64,5.00,1.00,1.00,42.00,21.00,3.00,101.00,0.00,56.00,9.00,16.00,7/20/21,7/20/21,PYENSON_SOLVENT MS long April 2021.M,,13.93,15.25,16.59,17.94,19.28,20.60,21.89,23.16,24.42,25.58,26.76,27.90,29.01,30.08,31.29,32.67,210718_ALKSTDS_C20_C39_PENTANE,13.816,4990646.00,16.454,34274089.00,19.137,96462529.00,"21.338, 21.395",137509615.00,31507622.00,169017237.00,21.744,111724671.00,22.218,649783045.00,"23.925, 23.976",589491135.00,183573173.00,773064308.00,24.725,1218621426.00,"26.330, 26.375",644263709.00,179054847,823318556.00,27.012,523377586.00,27.376,583531588.00,"28.539, 28.599",116709728.00,102300239.00,219009967.00,29.179,200345648.00,29.518,399626611.00,31.862,157908693.00,7566832931.00,
R5(117C),WGW,INCRPROP,GAMERGATE,Eighteen,,1.00,,2.57,2.57,4.00,0.00,1.00,42.00,21.00,3.00,101.00,0.00,56.00,9.00,16.00,7/20/21,7/20/21,PYENSON_SOLVENT MS long April 2021.M,,13.93,15.25,16.59,17.94,19.28,20.60,21.89,23.16,24.42,25.58,26.76,27.90,29.01,30.08,31.29,32.67,210718_ALKSTDS_C20_C39_PENTANE,13.807,2067988.00,16.438,10936558.00,19.104,17326283.00,"21.312, 21.374",60163174.00,14291730.00,74454904.00,21.703,11695999.00,22.141,116736715.00,"23.861, 23.917",174257781.00,63208805.00,237466586.00,24.619,204410446.00,"26.255, 26.308",139366193.00,48350106,187716299.00,26.922,65602163.00,27.287,62529970.00,"28.491, 28.551",19044873.00,15226115.00,34270988.00,29.119,16992231.00,29.439,31467026.00,31.787,12553574.00,1317715446.00,
R5(117C),PYP,INCRPROP,GAMERGATE,Eighteen,,1.00,,2.69,2.69,5.00,1.00,1.00,42.00,21.00,3.00,101.00,0.00,56.00,9.00,16.00,7/20/21,7/20/21,PYENSON_SOLVENT MS long April 2021.M,,13.93,15.25,16.59,17.94,19.28,20.60,21.89,23.16,24.42,25.58,26.76,27.90,29.01,30.08,31.29,32.67,210718_ALKSTDS_C20_C39_PENTANE,13.818,2360211.00,16.449,14562779.00,19.121,35419197.00,"21.316, 21.380",42095923.00,9299003.00,51394926.00,21.727,50256429.00,22.171,232248341.00,"23.876, 23.931",196819313.00,66753071.00,263572384.00,24.67,544987832.00,"26.283, 26.332",266199883.00,77421965,343621848.00,26.966,232135659.00,27.33,227592705.00,"28.513, 28.574",52168438.00,45701294.00,97869732.00,29.151,92592644.00,29.485,188276348.00,31.828,67916966.00,3396385413.00,
R5(117C),ORANGE,INCRPROP,GAMERGATE,Eighteen,,1.00,,2.47,2.47,5.00,1.00,1.00,42.00,21.00,3.00,101.00,0.00,56.00,9.00,16.00,7/20/21,7/20/21,PYENSON_SOLVENT MS long April 2021.M,,13.93,15.25,16.59,17.94,19.28,20.60,21.89,23.16,24.42,25.58,26.76,27.90,29.01,30.08,31.29,32.67,210718_ALKSTDS_C20_C39_PENTANE,13.815,9807566.00,16.448,27049423.00,19.118,43991791.00,"21.322, 21.382",83272167.00,18689893.00,101962060.00,21.721,46495922.00,22.171,255171261.00,"23.887, 23.935",317551947.00,78294876.00,395846823.00,24.665,551479622.00,26.28,336380553.00,,336380553.00,26.96,203134869.00,27.319,204018120.00,"28.504, 28.564",46175852.00,34615019.00,80790871.00,29.144,76387819.00,29.474,170571785.00,31.816,64292626.00,3567280980.00,
R5(117C),OGO,INCRPROP,REVERT,Eighteen,,1.00,,2.45,2.45,0.00,1.00,1.00,42.00,21.00,3.00,101.00,0.00,56.00,9.00,16.00,7/20/21,7/20/21,PYENSON_SOLVENT MS long April 2021.M,,13.93,15.25,16.59,17.94,19.28,20.60,21.89,23.16,24.42,25.58,26.76,27.90,29.01,30.08,31.29,32.67,210718_ALKSTDS_C20_C39_PENTANE,13.809,1002750.00,16.442,21669415.00,19.109,22503760.00,"21.324, 21.420",92247370.00,205515356.00,297762726.00,21.703,2478527.00,22.132,70012072.00,"23.820, 23.886",8289358.00,6880436.00,15169794.00,24.556,6378172.00,"26.208, 26.276",1501545.00,886525,2388070.00,26.895,2583486.00,27.258,6155445.00,"28.476, 28.520",333002.00,437584.00,770586.00,29.108--INDIRECT,1073353.00,29.426,4584292.00,31.776--INDIRECT,1637426.00,753720147.00,
F111,POP,SAMEPROP,GAMERGATE,Eighteen,,,,2.79,2.79,7.00,1.00,1.00,116.00,16.00,11.00,23.00,0.00,56.00,2.00,18.00,7/21/21,7/21/21,PYENSON_SOLVENT MS long April 2021.M,,13.93,15.25,16.59,17.94,19.28,20.60,21.89,23.16,24.42,25.58,26.76,27.90,29.01,30.08,31.29,32.67,210718_ALKSTDS_C20_C39_PENTANE,13.816,425851.00,16.441,1274756.00,19.105,3114342.00,"21.296, 21.370",4206908.00,2602211.00,6809119.00,21.704,9977220.00,22.115,14743819.00,"23.822, 23.895",22714692.00,13535073.00,36249765.00,24.584,44065981.00,"26.224, 26.288",24388744.00,15152769,39541513.00,26.911,25252265.00,27.283,45574672.00,"28.488, 28.552",7925069.00,13756082.00,21681151.00,29.122,15348490.00,29.441,40767366.00,31.793,18936257.00,501580731.00,
F111,WBW,SAMEPROP,GAMERGATE,Eighteen,,,,2.71,2.71,6.00,1.00,1.00,116.00,16.00,11.00,23.00,0.00,56.00,2.00,18.00,7/21/21,7/21/21,PYENSON_SOLVENT MS long April 2021.M,,13.93,15.25,16.59,17.94,19.28,20.60,21.89,23.16,24.42,25.58,26.76,27.90,29.01,30.08,31.29,32.67,210718_ALKSTDS_C20_C39_PENTANE,13.815,1431195.00,16.444,4920208.00,19.109,10568259.00,"21.303, 21.375",17963159.00,10100618.00,28063777.00,21.707,14392296.00,22.128,41789454.00,"23.845, 23.911",76807003.00,39996055.00,116803058.00,24.607,107219056.00,"26.238, 26.299",54569121.00,24808656,79377777.00,26.919,40410755.00,27.291,65722325.00,"28.489, 28.544",9357154.00,15022000.00,24379154.00,29.124,16944523.00,29.447,53276259.00,31.793,22627601.00,965749447.00,
SAFC20,BYB,INCRPROP,REVERT,Eighteen,1.00,1.00,,2.42,2.42,0.00,1.00,1.00,63.00,6.00,4.00,27.00,1.00,56.00,3.00,6.00,7/22/21,7/22/21,PYENSON_SOLVENT MS long April 2021.M,,13.93,15.25,16.59,17.94,19.28,20.60,21.89,23.16,24.42,25.58,26.76,27.90,29.01,30.08,31.29,32.67,210718_ALKSTDS_C20_C39_PENTANE,13.815,3511378.00,16.452,31664866.00,19.112,21115167.00,"21.289, 21.369",1591337.00,5043397.00,6634734.00,21.705,10675978.00,22.119,14876997.00,"23.818, 23.89",2311446.00,6875866.00,9187312.00,24.574,27783567.00,"26.159, 26.280",5389504.00,5803150,11192654.00,26.896,15143116.00,27.473,14950318.00,"28.424, 28.544",2209235.00,3547064.00,5756299.00,29.104,9491150.00,29.65,9101099.00,32.081,2821061.00,329750589.00,
SAFC20,GOG,INCRPROP,REVERT,Eighteen,1.00,1.00,,2.53,2.53,1.00,1.00,1.00,63.00,6.00,4.00,27.00,1.00,56.00,3.00,6.00,7/22/21,7/22/21,PYENSON_SOLVENT MS long April 2021.M,,13.93,15.25,16.59,17.94,19.28,20.60,21.89,23.16,24.42,25.58,26.76,27.90,29.01,30.08,31.29,32.67,210718_ALKSTDS_C20_C39_PENTANE,13.823,18939068.00,16.477,128744850.00,19.148,154631167.00,"21.311, 21.397",23738403.00,79634484.00,103372887.00,21.715,19843708.00,22.13,38812173.00,"23.821, 23.896",2367135.00,7649258.00,10016393.00,24.563,8604376.00,"26.209, 26.276",673882.00,1923738,2597620.00,26.892,1984564.00,27.469,2952367.00,28.526--INDIRECT INFERENCE,1278970.00,,1278970.00,29.095--INDIRECT INFERENCE,1168991.00,29.645,1196515.00,31.908,336358.00,1431896790.00,
SAFC20,POP,INCRPROP,unclear,Eighteen,1.00,1.00,,2.76,2.76,5.00,1.00,1.00,63.00,6.00,4.00,27.00,0.00,56.00,3.00,6.00,7/22/21,7/22/21,PYENSON_SOLVENT MS long April 2021.M,,13.93,15.25,16.59,17.94,19.28,20.60,21.89,23.16,24.42,25.58,26.76,27.90,29.01,30.08,31.29,32.67,210718_ALKSTDS_C20_C39_PENTANE,13.814,4670119.00,16.448,25639287.00,19.122,50862147.00,"21.312, 21.379",47707445.00,20392565.00,68100010.00,21.716,33717776.00,22.152,134520258.00,"23.859, 23.928",138008445.00,81289015.00,219297460.00,24.628,219882556.00,"26.248, 26.312",101145982.00,57798429,158944411.00,26.929,69084731.00,27.296,83360177.00,"28.489, 28.558",14271804.00,26431651.00,40703455.00,29.126,21684506.00,29.449,52497533.00,31.797,17569105.00,1472960477.00,
SAFC20,OYO,INCRPROP,GAMERGATE,Eighteen,1.00,1.00,,3.00,3.00,3.00,1.00,1.00,63.00,6.00,4.00,27.00,0.00,56.00,3.00,6.00,7/22/21,7/22/21,PYENSON_SOLVENT MS long April 2021.M,,13.93,15.25,16.59,17.94,19.28,20.60,21.89,23.16,24.42,25.58,26.76,27.90,29.01,30.08,31.29,32.67,210718_ALKSTDS_C20_C39_PENTANE,13.814,2301864.00,16.452,29265884.00,19.132,62534722.00,"21.312, 21.383",42221330.00,20644556.00,62865886.00,21.719,32934840.00,22.15,104412504.00,"23.853, 23.918",103747892.00,47718014.00,151465906.00,24.618,157125606.00,"26.243, 26.302",63160059.00,37414076,100574135.00,26.926,59810695.00,27.3,94030056.00,"28.490, 28.557",13099634.00,20812428.00,33912062.00,29.125,25686542.00,29.459,75196613.00,31.792,12394949.00,1412076544.00,
SAFC20,OPO,INCRPROP,GAMERGATE,Eighteen,1.00,1.00,,2.57,2.57,1.00,1.00,1.00,63.00,6.00,4.00,27.00,0.00,56.00,3.00,6.00,7/22/21,7/22/21,PYENSON_SOLVENT MS long April 2021.M,,13.93,15.25,16.59,17.94,19.28,20.60,21.89,23.16,24.42,25.58,26.76,27.90,29.01,30.08,31.29,32.67,210718_ALKSTDS_C20_C39_PENTANE,13.818,15087514.00,16.484,155643186.00,19.147,134201996.00,"21.313, 21.404",29812813.00,95392298.00,125205111.00,21.733,83266554.00,22.143,78832238.00,"23.854, 23.953",67082716.00,236338264.00,303420980.00,24.61,113642875.00,"26.243, 26.330",40536646.00,150165177,190701823.00,26.925,61706472.00,27.294,74334511.00,"28.492, 28.558",7976753.00,32685253.00,40662006.00,29.124,22277474.00,29.451,61365374.00,31.787,12162580.00,1995702941.00,
SAFC20,YGY,INCRPROP,GAMERGATE,Eighteen,1.00,1.00,,2.68,2.68,3.00,1.00,1.00,63.00,6.00,4.00,27.00,0.00,56.00,3.00,6.00,7/22/21,7/22/21,PYENSON_SOLVENT MS long April 2021.M,,13.93,15.25,16.59,17.94,19.28,20.60,21.89,23.16,24.42,25.58,26.76,27.90,29.01,30.08,31.29,32.67,210718_ALKSTDS_C20_C39_PENTANE,13.807,2031642.00,16.442,18342413.00,19.114,44276289.00,"21.296, 21.366",15961512.00,7865145.00,23826657.00,21.706,21144481.00,22.13,65972492.00,"23.829, 23.895",46885140.00,25098549.00,71983689.00,24.595,93411138.00,"26.220, 26.286",36784334.00,20758490,57542824.00,26.91,34928930.00,27.277,44846112.00,"28.477, 28.546",6921491.00,12065179.00,18986670.00,29.115,11955230.00,29.435,28058399.00,31.779,8676691.00,685142806.00,
R3BA(3),OWO,INCRPROP,GAMERGATE,Eighteen,1.00,1.00,1.00,2.91,2.91,3.00,1.00,1.00,59.00,31.00,0.00,38.00,0.00,,5.00,13.00,22-Aug,22-Aug,PYENSON_SOLVENT MS long April 2021.M,,13.92,15.23,16.58,17.92,19.26,20.58,21.87,23.14,24.39,25.56,26.73,27.87,28.97,30.03,31.21,32.56,210822_C20_C39_ALKSTANDARD_PENTANE.D,13.803,11902820.00,16.443,45391203.00,19.124,45391203.00,"21.304, 21.372",55266191.00,29209062.00,84475253.00,21.719,71756982.00,22.178,307553904.00,"23.876, 23.946",251742066.00,154022254.00,405764320.00,24.677,605470600.00,"26.258, 26.316",152194189.00,78344483,230538672.00,26.952,183220836.00,27.319,218934157.00,"28.483, 28.555",22969079.00,44373733.00,67342812.00,29.125,55305383.00,29.465,162623820.00,31.804,78027778.00,3120167157.00,
R3BA(3),WOW,INCRPROP,GAMERGATE,Eighteen,1.00,1.00,1.00,2.70,2.70,3.00,1.00,1.00,59.00,31.00,0.00,38.00,0.00,,5.00,13.00,22-Aug,22-Aug,PYENSON_SOLVENT MS long April 2021.M,,13.92,15.23,16.58,17.92,19.26,20.58,21.87,23.14,24.39,25.56,26.73,27.87,28.97,30.03,31.21,32.56,210822_C20_C39_ALKSTANDARD_PENTANE.D,13.806,10282915.00,16.446,46473949.00,19.127,92629999.00,"21.305, 21.370",47457416.00,23016740.00,70474156.00,21.722,72992353.00,22.168,230446828.00,"23.873, 23.938",218384698.00,123578379.00,341963077.00,24.661,455167532.00,"26.263, 26.316",167070159.00,74553927,241624086.00,26.944,158650470.00,27.303,132004583.00,"28.488, 28.556",26405442.00,38238151.00,64643593.00,29.124,46279090.00,29.457,104100949.00,31.794,51445918.00,2530005903.00,
R3BA(3),GBG,INCRPROP,unclear,Eighteen,1.00,1.00,1.00,2.82,2.82,4.00,1.00,1.00,59.00,31.00,0.00,38.00,0.00,,5.00,13.00,22-Aug,22-Aug,PYENSON_SOLVENT MS long April 2021.M,,13.92,15.23,16.58,17.92,19.26,20.58,21.87,23.14,24.39,25.56,26.73,27.87,28.97,30.03,31.21,32.56,210822_C20_C39_ALKSTANDARD_PENTANE.D,13.801,4128359.00,16.439,29570359.00,19.122,85759560.00,"21.299, 21.366",36000391.00,16903124.00,52903515.00,21.719,71979028.00,22.155,173629638.00,"23.863, 23.929",173773531.00,99313519.00,273087050.00,24.646,349483579.00,"26.249, 26.305",113593072.00,57847122,171440194.00,26.932,99753856.00,27.303,154182060.00,"28.477, 28.546",14762556.00,25130537.00,39893093.00,29.117,35447944.00,29.453,102590775.00,31.785,35850908.00,1999962535.00,
R3BA(3),WGW,INCRPROP,GAMERGATE,Eighteen,1.00,1.00,1.00,2.94,2.94,4.00,1.00,1.00,59.00,31.00,0.00,38.00,0.00,,5.00,13.00,22-Aug,22-Aug,PYENSON_SOLVENT MS long April 2021.M,,13.92,15.23,16.58,17.92,19.26,20.58,21.87,23.14,24.39,25.56,26.73,27.87,28.97,30.03,31.21,32.56,210822_C20_C39_ALKSTANDARD_PENTANE.D,13.804,5450322.00,16.443,33410307.00,19.132,109955064.00,"21.311, 21.377",63594647.00,29879943.00,93474590.00,21.735,107932189.00,22.187,342243529.00,"23.898, 23.958",376292111.00,168222166.00,544514277.00,24.684,649194441.00,"26.272, 26.325",214204337.00,83657240,297861577.00,26.952,170932527.00,27.329,239641401.00,"28.488, 28.533",23017251.00,33289917.00,56307168.00,29.127,58499134.00,29.427,167267879.00,31.801,57541718.00,3510249851.00,
R3BA(3),GOG,INCRPROP,GAMERGATE,Eighteen,1.00,1.00,1.00,2.83,2.83,4.00,1.00,1.00,59.00,31.00,0.00,38.00,0.00,,5.00,13.00,22-Aug,22-Aug,PYENSON_SOLVENT MS long April 2021.M,,13.92,15.23,16.58,17.92,19.26,20.58,21.87,23.14,24.39,25.56,26.73,27.87,28.97,30.03,31.21,32.56,210822_C20_C39_ALKSTANDARD_PENTANE.D,13.82,40644752.00,16.478,147375266.00,19.167,275236352.00,"21.341, 21.401",157009898.00,73941878.00,230951776.00,21.755,167955175.00,22.233,715980879.00,"23.952, 24.017",790701039.00,355185312.00,1145886351.00,24.745,1321975919.00,"26.312, 26.367",435640963.00,179590097,615231060.00,26.998,433761260.00,27.368,495846106.00,"28.508, 28.582",48620298.00,86734947.00,135355245.00,29.157,150406358.00,29.5,333731885.00,31.838,166358319.00,7462677887.00,
R3BA(3),BGB,INCRPROP,GAMERGATE,Eighteen,1.00,1.00,1.00,2.60,2.60,1.00,1.00,1.00,59.00,31.00,0.00,38.00,1.00,,5.00,13.00,22-Aug,22-Aug,PYENSON_SOLVENT MS long April 2021.M,,13.92,15.23,16.58,17.92,19.26,20.58,21.87,23.14,24.39,25.56,26.73,27.87,28.97,30.03,31.21,32.56,210822_C20_C39_ALKSTANDARD_PENTANE.D,13.802,4071246.00,16.461,100044286.00,19.125,90946706.00,21.389,101183272.00,,101183272.00,21.702,21194715.00,22.154,167340888.00,"23.898, 24.017",51096970.00,8164711.00,59261681.00,24.837,355390.00,"26.105, 26.266",2355851.00,4071943,6427794.00,26.911,30994647.00,27.257,19063213.00,"28.344, 28.529",2418699.00,817402.00,3236101.00,29.097,7441386.00,29.419,19694303.00,31.761,10297580.00,1006518951.00,
R3BA(3),BOB,INCRPROP,REVERT,Eighteen,1.00,1.00,1.00,2.40,2.40,0.00,1.00,1.00,59.00,31.00,0.00,38.00,1.00,,5.00,13.00,22-Aug,22-Aug,PYENSON_SOLVENT MS long April 2021.M,,13.92,15.23,16.58,17.92,19.26,20.58,21.87,23.14,24.39,25.56,26.73,27.87,28.97,30.03,31.21,32.56,210822_C20_C39_ALKSTANDARD_PENTANE.D,13.808,42077500.00,16.475,185043494.00,19.108,59982385.00,"21.274, 21.355",3889095.00,21926473.00,25815568.00,21.692,29867382.00,22.103,30543065.00,"23.803, 23.898",5127367.00,89517707.00,94645074.00,24.574,75965941.00,"26.116, 26.287",2333018.00,72185962,74518980.00,26.889,54519343.00,27.248,14213619.00,"28.358, 28.538",3202083.00,34917173.00,38119256.00,29.099,17410859.00,29.408,10201802.00,31.748,5883452.00,965768746.00,
R3BA(3),GWG,INCRPROP,REVERT,Eighteen,1.00,1.00,1.00,2.54,2.54,0.00,1.00,1.00,59.00,31.00,0.00,38.00,0.00,,5.00,13.00,22-Aug,22-Aug,PYENSON_SOLVENT MS long April 2021.M,,13.92,15.23,16.58,17.92,19.26,20.58,21.87,23.14,24.39,25.56,26.73,27.87,28.97,30.03,31.21,32.56,210822_C20_C39_ALKSTANDARD_PENTANE.D,13.803,6684978.00,16.464,101156575.00,19.115,60918857.00,21.363,25716774.00,,25716774.00,21.7,28232947.00,22.134,73584943.00,23.883,24970834.00,,24970834.00,24.585,66628656.00,"26.1, 26.265",566251.00,6337699,6903950.00,26.9,22466610.00,27.24,5133051.00,"28.342, 28.518",625110.00,601354.00,1226464.00,29.102,11167742.00,29.413,6188247.00,31.76,6143834.00,553081516.00,
R3BA(3),OBO,INCRPROP,NG,Eighteen,1.00,1.00,1.00,2.50,2.50,0.00,0.00,0.00,59.00,31.00,0.00,38.00,0.00,,5.00,13.00,22-Aug,22-Aug,PYENSON_SOLVENT MS long April 2021.M,,13.92,15.23,16.58,17.92,19.26,20.58,21.87,23.14,24.39,25.56,26.73,27.87,28.97,30.03,31.21,32.56,210822_C20_C39_ALKSTANDARD_PENTANE.D,13.806,13776008.00,16.47,125734706.00,19.11,44784983.00,"21.281, 21.357",2631581.00,11154143.00,13785724.00,21.695,21554692.00,22.125,42905266.00,23.885,33031241.00,,33031241.00,24.585,62762893.00,26.268,21288165.00,,21288165.00,26.908,34458829.00,27.246,11125085.00,"28.389, 28.455",3250542.00,1457679.00,4708221.00,29.104,11842922.00,29.412,11916580.00,31.76,7192059.00,634276524.00,
R3BA(3),WPW,INCRPROP,REVERT,Eighteen,1.00,1.00,1.00,2.63,2.63,0.00,0.00,1.00,59.00,31.00,0.00,38.00,1.00,,5.00,13.00,22-Aug,22-Aug,PYENSON_SOLVENT MS long April 2021.M,,13.92,15.23,16.58,17.92,19.26,20.58,21.87,23.14,24.39,25.56,26.73,27.87,28.97,30.03,31.21,32.56,210822_C20_C39_ALKSTANDARD_PENTANE.D,13.8,7568132.00,16.477,165309073.00,19.128,100211479.00,"21.289, 21.393",2000152.00,100117645.00,102117797.00,21.699,25665131.00,22.155,175128976.00,23.919,135857028.00,,135857028.00,24.614,195950719.00,"26.102, 26.271",2553161.00,22479729,25032890.00,26.922,73271145.00,27.255,21872205.00,"28.516, 28.602",2413735.00,437452.00,2851187.00,29.103,19751249.00,29.415,21629620.00,31.76,14207480.00,1411178163.00,
R3BA(3),PBP,INCRPROP,REVERT,Eighteen,1.00,1.00,1.00,2.52,2.52,0.00,1.00,1.00,59.00,31.00,0.00,38.00,1.00,,5.00,13.00,22-Aug,22-Aug,PYENSON_SOLVENT MS long April 2021.M,,13.92,15.23,16.58,17.92,19.26,20.58,21.87,23.14,24.39,25.56,26.73,27.87,28.97,30.03,31.21,32.56,210822_C20_C39_ALKSTANDARD_PENTANE.D,13.852,196981826.00,16.508,348865378.00,19.133,111866855.00,"21.295, 21.376",20269841.00,42023200.00,62293041.00,21.716,55480839.00,22.133,80487372.00,"23.826, 23.932",38357502.00,160827554.00,199185056.00,24.619,206449211.00,"26.221, 26.322",21457693.00,160480274,181937967.00,26.942,146848831.00,27.271,41821474.00,28.57,99611304.00,,99611304.00,29.117,48680289.00,29.423,26294790.00,31.77,14944464.00,2464391789.00,
F100A,OWO,SAMEPROP,GAMERGATE,Eighteen,,,,2.59,2.59,6.00,1.00,1.00,87.00,13.00,6.00,17.00,0.00,,1.00,8.00,23-Aug,,PYENSON_SOLVENT MS long April 2021.M,,13.92,15.23,16.58,17.92,19.26,20.58,21.87,23.14,24.39,25.56,26.73,27.87,28.97,30.03,31.21,32.56,210822_C20_C39_ALKSTANDARD_PENTANE.D,13.729,420840.00,16.427,7042654.00,19.102,26582690.00,"21.281, 21.357",6526932.00,3435147.00,9962079.00,21.698,23856908.00,22.107,22605616.00,"23.817, 23.879",35572894.00,15702501.00,51275395.00,24.572,40820884.00,"26.223, 26.276",58652262.00,17770597,76422859.00,26.895,23616510.00,27.263,34630135.00,"28.471, 28.530",17207408.00,11580492.00,28787900.00,29.101,15830263.00,29.424,42126244.00,31.751,8302315.00,635705577.00,
SAFC17A,YOY,INCRPROP,GAMERGATE,Eighteen,,,,,,4.00,1.00,1.00,17.00,11.00,6.00,39.00,0.00,,5.00,8.00,8-Sep,,PYENSON_SOLVENT MS long April 2021.M,,13.92,15.23,16.58,17.91,19.26,20.58,21.87,23.14,24.39,25.55,26.73,27.86,28.96,30.02,31.20,32.55,210907_C20_C39_ALKSTANDARD_PENTANE.D,13.795,651047.00,16.426,5969298.00,19.102,26489721.00,"21.279, 21.35",8406387.00,2802217.00,11208604.00,21.696,24496122.00,22.12,56169626.00,"23.82, 23.882",41872378.00,21380350.00,63252728.00,24.602,130662280.00,"26.213, 26.27",38459502.00,16465900,54925402.00,26.905,40116236.00,27.277,77000355.00,"28.460, 28.525",6968399.00,7367941.00,14336340.00,29.104,22839697.00,29.433,58285409.00,31.756,10400881.00,797057122.00,
SAFC17A,GBG,INCRPROP,GAMERGATE,Eighteen,,,,2.66,2.66,4.00,1.00,1.00,17.00,11.00,6.00,39.00,0.00,,5.00,8.00,8-Sep,,PYENSON_SOLVENT MS long April 2021.M,,13.92,15.23,16.58,17.91,19.26,20.58,21.87,23.14,24.39,25.55,26.73,27.86,28.96,30.02,31.20,32.55,210907_C20_C39_ALKSTANDARD_PENTANE.D,UNDETECTABLE,0.00,16.413,1580703.00,19.078,6251079.00,"21.266, 21.341",4319945.00,1555583.00,5875528.00,21.676,8477351.00,22.096,25111400.00,"23.799, 23.866",21403626.00,12353677.00,33757303.00,24.563,43942048.00,"26.195, 26.257",20782149.00,9363791,30145940.00,26.88,14571597.00,27.252,30875079.00,"28.45, 28.513",3802305.00,4109417.00,7911722.00,29.086,7640433.00,29.408,20337508.00,31.741,5552110.00,322945917.00,
